,Timestamp,Unnamed: 1,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max
23,2023-05-08,06:00:00,1,5.96,4.83,6.93,-1.74,-4.87,2.57,4.53,-2.13,6.52,1.2,-3.16,6.31,117.76,49.73,208.36,11.86,-35.15,72.2,8.88,7.37,10.27,487.8,460.6,519.1,195475,134091,269630
24,2023-05-08,12:00:00,1,5.31,3.0,8.0,2.48,-5.07,4.61,-0.68,-4.95,6.99,-0.23,-7.46,6.64,352.09,0.46,357.17,-2.49,-70.15,65.03,9.24,5.89,18.19,513.5,476.7,550.1,238131,31080,444011
25,2023-05-08,18:00:00,1,5.09,4.54,6.09,-2.44,-5.07,1.45,-2.84,-4.74,0.98,-3.01,-5.07,3.86,228.8,156.49,297.31,-37.16,-75.66,39.51,7.61,5.87,8.55,478.9,458.9,501.6,186713,136464,273955
26,2023-05-09,00:00:00,1,4.43,2.9,5.0,-2.59,-4.37,0.32,-1.86,-4.45,2.88,-1.44,-3.56,2.21,209.62,133.34,270.99,-20.18,-57.31,34.31,7.42,5.58,10.0,457.7,424.6,475.8,133237,66421,191501
27,2023-05-09,06:00:00,1,5.45,4.25,6.01,-4.62,-5.79,-1.38,0.93,-2.2,4.12,0.31,-4.43,4.07,167.51,119.58,211.1,3.28,-62.16,66.74,7.12,5.59,8.48,417.0,406.0,438.0,62184,35770,82813
28,2023-05-09,12:00:00,1,5.59,5.0,6.65,-5.02,-6.02,-2.99,0.16,-4.33,3.27,1.47,-2.67,4.16,176.91,136.86,235.02,15.51,-25.77,50.25,5.28,2.56,7.22,405.3,386.5,416.9,70801,11436,94520
29,2023-05-09,18:00:00,1,5.72,4.43,15.97,-4.74,-11.35,11.6,2.86,-7.12,11.12,-0.51,-13.28,12.78,146.57,90.0,330.49,-4.83,-68.85,57.23,4.34,2.27,21.18,405.8,379.4,675.3,70823,8758,1286686
30,2023-05-10,00:00:00,1,14.48,6.99,19.81,-7.05,-12.19,6.91,2.52,-9.6,16.12,8.57,-5.75,18.49,169.81,41.5,320.07,40.72,-22.67,82.82,12.85,0.28,64.15,553.8,489.5,667.7,171818,11655,1020123
31,2023-05-10,06:00:00,1,8.94,4.99,12.77,-1.15,-9.53,8.27,-4.54,-12.13,9.6,2.15,-7.84,9.39,257.75,3.98,352.06,12.86,-67.56,69.37,12.28,0.19,19.18,605.3,536.6,677.5,385670,5000,993723
32,2023-05-10,12:00:00,-1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
33,2023-05-10,18:00:00,2,6.18,5.29,7.22,-5.47,-6.28,-3.1,-2.18,-4.6,1.99,0.81,-2.91,2.95,199.12,160.27,235.09,7.96,-26.51,25.99,2.74,0.18,10.7,609.38,411.5,632.45,112206,5000,276081
34,2023-05-11,00:00:00,0,6.06,5.29,6.67,-4.98,-6.52,-1.01,-3.01,-5.51,1.47,-0.38,-3.04,2.82,211.36,166.05,259.02,-3.55,-30.15,28.85,2.42,0.58,5.43,564.97,491.56,598.23,63601,12764,121595
35,2023-05-11,06:00:00,-1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
36,2023-05-11,12:00:00,2,6.03,5.14,6.48,-5.36,-6.28,-3.93,-1.86,-3.82,1.31,0.08,-2.1,3.31,197.38,159.59,219.31,0.72,-19.6,38.04,2.55,0.97,12.84,510.34,490.81,524.0,65739,26050,380961
